Cadena,UPC,Descripcion,Formato,NumTienda,NomTienda,ID TIENDA,Tiempo,OH Piezas,IT Piezas
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,243,Chedraui Selecto Toluca Metepec 05-05,CHE243,2025-05-29,10.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,249,Chedraui Selecto Gdl Acueducto 05-05,CHE249,2025-05-29,5.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,251,Chedraui Selecto San Luis Potosi El Dorado 05-05,CHE251,2025-05-29,4.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,253,Chedraui Selecto Merida Norte 06-05,CHE253,2025-05-29,5.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,255,Chedraui Selecto Cancun Kabah 06-05,CHE255,2025-05-29,10.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,262,Chedraui Selecto Gdl Av. Mexico 08-19,CHE262,2025-05-29,8.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,268,Chedraui Selecto Queretaro Centro Sur 10-21,CHE268,2025-05-29,3.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,47,Chedraui Selecto Cancun Americas 12-97,CHE47,2025-05-29,5.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,59,Chedraui Selecto Xalapa Animas 06-00,CHE59,2025-05-29,7.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,655,Chedraui Selecto Mexico Tecamachalco 11-12,CHE655,2025-05-29,5.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,668,Chedraui Selecto Puebla Angelopolis 09-15,CHE668,2025-05-29,7.0,0.0
